count.C1,count.C2,count.C3,count.T1,count.T2,count.T3
1606,1207,1317,927,864,1065
1968,1649,1495,2167,2020,1868
6276,5377,5227,5953,6364,5610
4,4,0,0,0,0
331,275,283,600,614,607
2643,2419,2143,3072,3033,2549
4573,4271,3620,5403,5166,4967
1161,907,814,803,1001,675
14645,11755,11937,9488,9939,9143
6,16,15,10,8,6
46,28,16,0,4,15
0,10,0,16,0,0
1904,1700,1622,1826,2563,2180
12695,10453,9771,8716,8166,8077
406,436,368,504,518,469
53,43,22,31,44,31
1236,954,955,1765,2001,1690
59,31,36,66,76,66
5598,4960,4643,6722,6549,6375
55113,45519,43607,65745,63995,59988
3929,3100,2996,4475,4657,3999
826,622,611,941,1291,1151
53346,43579,42711,73866,77235,68635
2337,1817,1894,3540,3678,3382
295,303,234,511,510,425
758,539,588,973,1373,1100
28,5,22,49,37,49
2,8,12,8,10,4
1974,1740,1685,1542,1590,1578
2928,2367,2378,3670,4306,4054
1547,1255,1132,1709,1801,1708
3498,2649,2674,2728,3225,2757
11417,9392,8642,12190,14691,12482
743,608,568,897,1071,811
199,166,156,191,233,165
5262,4181,4302,7631,10205,8119
15,182,135,127,0,17
2418,2143,1885,2818,2596,2523
1799,1584,1525,2171,2065,1679
25,84,34,47,45,63
2930,2145,2003,2485,3495,2583
3578,2522,2482,4843,5808,4709
3987,3986,3686,3928,4066,3879
1120,946,735,1188,1296,1400
6,6,0,0,8,7
47920,40609,39502,50135,48229,44416
3596,2776,2942,3813,4318,3335
36,11,19,28,26,12
2983,2312,2141,3664,3660,3543
2246,1486,1809,3457,4397,3799
15151,11909,10825,9238,9907,9389
4952,4257,3900,2969,3114,3051
1773,1471,1376,1634,1825,1453
1774,1204,1242,2489,2860,2509
1296,927,946,1601,1786,1505
0,0,0,12,0,0
2127,1937,1774,2216,2008,1970
4209,2980,2796,5640,6233,5046
3502,2508,2432,4407,5985,5272
3354,2847,2779,4186,4263,4007
253,201,201,189,172,154
16077,13378,13455,12708,13269,12432
1906,1589,1487,2288,2334,2180
113,111,63,247,185,179
2748,1860,1960,1546,1830,1489
1324,1089,915,1715,1918,1562
3732,2915,2940,6080,7241,6400
11902,11086,10326,12537,12284,12233
11738,9588,9002,12384,13693,12076
1699,1231,1256,2503,2435,2116
3388,2624,2529,5194,5269,4611
0,9,10,14,25,11
1918,1751,1728,3371,3435,3160
29097,22829,21098,32872,36987,29876
13897,11287,10437,11331,12216,10650
4863,4121,3657,4718,4828,4660
37965,34410,29782,26478,26193,25651
11226,8929,8847,8757,8920,8235
40,39,37,27,14,17
638,483,365,425,468,427
34803,27509,24611,28076,31069,25867
1248,1167,953,1974,2222,2177
4399,3371,3200,4499,5836,4161
31452,27713,24948,28106,27620,26482
861,729,727,912,898,831
7814,6153,5320,8337,8990,8125
4574,3670,3644,4416,4624,4400
6750,5047,4939,6156,7042,6023
3817,3285,2851,4821,4954,4859
2792,2224,2088,2254,2117,2034
0,0,0,0,14,0
0,6,0,0,0,0
122,83,144,64,111,160
5009,3771,4050,5853,6650,5984
4,4,0,0,0,20
20705,18507,16187,12420,12830,12482
1855,1570,1429,1721,1717,1648
5386,4685,4680,7495,7701,6931
6124,5358,4415,4148,4272,3987
2075,1610,1506,2146,2243,1940
2284,1922,1750,2284,2698,2457
1923,1744,1562,2288,2290,2208
11987,9515,9491,6968,7323,6949
8885,7697,6954,7737,7958,7012
1056,837,658,1123,1243,1136
1821,1495,1538,2537,3182,2705
2339,1649,1722,2528,3101,2684
0,9,0,12,2,0
1850,1412,1380,2896,3360,2617
4867,4345,4001,3591,3357,3507
1691,1303,1335,1826,1852,1672
15937,11382,11001,40054,45394,37155
2269,1689,1599,4218,4400,3859
0,0,20,0,0,0
6,0,3,15,42,18
2343,1952,2057,2702,2751,2778
8,0,0,25,12,0
6573,4784,4156,4137,4575,4136
7043,5442,5263,4059,4472,4022
29,32,54,42,33,30
890,827,617,1033,1024,1168
15,76,14,75,73,98
68,122,76,187,111,117
608,653,716,1013,1012,975
3128,2250,2264,3092,3571,2934
2004,1500,1176,2212,2919,2077
0,0,0,0,8,7
5804,4554,4376,4398,4710,4064
12621,10095,9817,12084,12436,11335
4588,3399,3776,3246,3484,3275
0,7,12,4,0,0
4,0,0,4,6,0
1197,955,946,1480,1838,1455
176,100,143,160,218,181
1106,788,614,1151,1255,1170
506,422,364,643,652,471
587,545,532,645,595,565
5327,4332,4609,5571,6120,5638
497,350,377,521,648,582
2669,2180,2009,1794,2105,1950
3835,2624,3162,5685,6773,6077
656,467,482,665,771,705
1341,1227,1301,1482,1225,1424
0,4,0,6,0,1
11459,9427,9175,10137,9292,9618
5618,4568,4122,5221,5591,5490
1298,987,1015,1583,2042,1633
4862,3718,3706,4168,5198,3982
25171,20423,18898,15984,15618,14201
4,12,0,8,0,0
4658,3659,3589,5273,5527,4926
1013,831,681,1636,1864,1685
1641,1367,1381,1783,1600,1647
7694,5594,5414,8822,10232,8946
4656,3617,3631,4440,4849,4484
8054,6030,5851,8619,10177,8758
9472,8055,7215,8780,8976,8485
2764,2212,2321,3374,3327,3315
1266,992,945,1668,2140,2057
266,252,263,203,243,220
5631,4547,4709,7343,8571,7447
7061,6267,5403,5026,4825,4551
100,40,54,75,70,100
978,694,730,1104,1474,1225
16745,12953,13292,21056,23756,20702
246,254,234,415,510,408
29,10,47,55,74,56
3784,3517,2907,4996,5171,5048
2658,2044,1747,2919,3605,3114
102,125,100,145,205,154
2719,1892,1775,2488,2413,2422
1469,1351,1306,1465,1278,1224
59837,46544,45379,51677,55616,51393
18,18,16,16,14,8
7611,6194,5936,9153,9832,8805
341,349,343,330,450,316
7,13,4,10,29,34
0,4,0,0,0,0
14175,10592,10677,16273,17538,15740
160,196,170,246,202,253
2832,2027,2077,3457,4274,3707
735,703,747,1004,871,867
5544,4430,4053,4906,4265,4348
3016,2410,2197,3528,3676,3240
2377,1952,1732,2096,2131,1929
4078,3188,2827,4345,5169,4379
1446,1236,1079,1652,1768,1780
2381,1890,1860,2327,2531,2192
69454,58705,51716,48456,48626,45746
4985,3837,3464,5441,6874,5315
1249,1045,824,841,951,763
21,23,15,46,4,12
1199,1239,1097,1617,1565,1451
2120,2103,2086,2492,2253,2342
8770,7313,7481,8324,8390,7864
7268,5322,1208,7715,10144,3094
2485,1614,1642,2339,3251,2857
3589,2728,2484,3205,3406,2997
6344,4613,4357,6764,7111,6167
747,461,412,529,496,523
6044,5381,4589,6892,7431,6956
1846,1534,1283,1648,1762,1851
127,172,174,71,81,90
2503,2110,2082,2051,2067,2138
9366,8113,7327,7854,8346,7503
1370,1063,897,1412,2128,1871
3393,3110,2560,3182,3248,3010
714,588,713,1635,1675,1716
4447,3070,3032,4668,5638,5056
1007,752,592,1041,1293,1386
8593,6799,6262,19822,20515,19296
133,111,106,194,185,190
3227,3055,2616,2932,2790,2500
17044,13594,12024,14971,16547,14301
564,432,573,280,412,322
22993,20069,20987,25898,26497,26118
4270,2746,2957,4008,5182,3999
12785,10348,9264,9698,9643,9224
29,16,0,32,58,9
4,26,32,29,4,23
993,726,809,953,1039,937
415,347,443,312,427,266
5056,4149,3725,5091,5235,4705
0,0,9,24,14,0
0,16,4,10,0,0
2521,1850,2176,2501,3232,2732
1227,1123,1004,1675,1953,1756
4681,3448,3009,2863,3238,2897
13815,11239,10602,26063,32817,26869
11567,10126,9480,9934,10161,9052
1940,1707,1508,1676,1641,1388
0,16,18,0,0,0
0,0,0,0,8,0
1178,1066,732,1928,2069,2005
12231,9450,8950,13655,16466,14822
6319,4490,4099,7213,8087,7176
629,434,338,927,1254,935
6389,5447,4830,7346,7059,6730
4102,3689,3188,4628,4503,4475
3312,2690,2507,3820,4744,3915
14,18,7,9,18,16
6453,4909,4660,9544,12323,9901
1884,1398,1401,1827,2055,1888
419,365,236,494,603,409
25427,21889,19564,20777,20422,18212
368,291,269,447,457,469
8761,7676,6591,5932,6167,5644
8843,7722,6655,10572,10018,9199
5670,4549,4245,6396,6873,5790
16203,12696,12024,21505,24986,20482
4521,3260,3371,5030,6001,4789
9831,9217,8303,8522,8419,8481
4,6,4,0,0,0
23419,18655,18789,35143,38375,33683
89,28,60,122,75,62
1078,1274,1273,1190,1301,1292
2807,2591,2262,2488,2440,2293
41549,31979,31030,32978,35358,31925
497,429,466,479,543,448
3253,2773,2328,1749,2121,1962
34235,29784,28001,20970,21022,20654
24768,22427,19396,18445,18849,17659
6999,5605,5258,4522,4887,4384
215,170,223,332,366,794
0,0,0,0,4,0
1216,945,1019,1915,2047,1737
3075,2445,2446,2485,2433,2264
14421,12424,10928,13293,14058,13428
494,510,413,535,582,556
4535,3965,3426,3594,4070,3392
10391,8768,8249,10864,11646,10904
4768,3722,3238,4009,3831,3248
2740,2511,2290,2708,2866,2439
2173,1478,1565,2393,2830,2343
11340,9682,8704,8195,8744,8161
31,10,4,16,12,4
914,683,639,975,1026,941
48,7,22,18,29,28
555,592,468,617,874,734
30,76,52,37,37,23
1136,1112,1041,1312,1465,1163
806,717,729,1118,1114,993
2682,2024,2159,3036,3424,3313
9912,9164,9191,8607,8127,8361
9472,7646,7881,12290,11666,11158
267,522,406,651,543,689
4238,3519,3165,3450,3484,3401
1740,1366,1344,1704,1735,1804
316,198,229,356,323,320
49385,43497,39464,38528,38874,36268
10649,9067,8466,11547,11160,10549
2359,1925,1862,2211,2376,2215
1570,1317,1270,2526,2771,2319
34,12,14,32,4,21
24241,19697,16742,10154,10798,9435
1634,1650,1446,2180,2135,2192
201,240,148,78,133,124
2833,1943,2069,2956,3189,2746
7788,5726,5494,8747,9662,7834
611,495,501,599,733,562
14,19,24,12,12,16
13,14,12,17,0,8
9469,8391,7477,10160,10269,9692
1065,866,894,1672,2095,1628
9426,7812,6904,7478,7894,7091
31,33,4,59,68,43
1964,1613,1542,1824,2116,1994
3042,3096,2522,3102,2619,2843
16533,15548,14314,16044,15951,14456
3199,2878,2505,2814,2818,2737
5145,4275,3656,2758,2708,2523
1060,752,568,782,661,730
2310,2080,1965,4307,4458,4270
9905,7548,7052,12230,13421,11805
26638,22258,21088,33783,36526,30948
9163,7311,6637,9065,10365,8722
2909,2309,2096,3205,3636,3289
4741,3821,3718,5303,6382,5721
